mileage,make,fuel,offerType,price,hp,year
92800,,,,6877,122.0,2011
149300,,,,6900,160.0,2011
96200,,,,6950,110.0,2011
156000,,,,6950,156.0,2011
147000,,,,6950,99.0,2011
91894,,,,6970,131.0,2011
127500,,,,6972,116.0,2011
115000,,,,6980,150.0,2011
104,,,,6990,86.0,2011
59580,,,,6990,101.0,2011
84000,,,,6990,105.0,2011
109000,,,,6990,141.0,2011
194020,,,,6999,120.0,2011
72000,,,,6999,60.0,2011
190000,,,,6999,150.0,2011
190000,,,,6999,150.0,2011
85700,,,,6999,135.0,2011
82000,,,,7000,101.0,2011
44800,,,,7850,86.0,2012
81970,,,,7850,105.0,2012
24000,,,,7900,105.0,2012
193333,,,,7900,105.0,2012
113000,,,,7900,105.0,2012
117000,,,,7949,105.0,2012
104250,,,,7950,140.0,2012
151250,,,,7950,163.0,2012
133500,,,,7980,143.0,2012
105000,,,,7980,179.0,2012
114164,,,,7990,125.0,2012
128000,,,,7990,90.0,2012
150000,,,,7999,143.0,2012
160000,,,,7999,122.0,2012
165000,,,,8000,109.0,2012
51200,,,,8000,131.0,2012
107000,,,,8000,160.0,2012
130000,,,,8000,98.0,2012
214000,,,,8199,184.0,2012
73760,,,,8990,140.0,2013
113000,,,,8990,160.0,2013
108803,,,,8990,116.0,2013
7400,,,,8990,101.0,2013
86980,,,,8995,120.0,2013
98000,,,,8999,105.0,2013
98988,,,,8999,101.0,2013
41124,,,,8999,101.0,2013
170000,,,,8999,140.0,2013
80500,,,,9000,102.0,2013
195327,,,,9000,140.0,2013
143316,,,,9000,140.0,2013
98100,,,,9100,122.0,2013
113000,,,,9100,86.0,2013
94000,,,,9200,105.0,2013
68700,,,,9290,140.0,2013
169500,,,,9300,126.0,2013
77000,,,,9300,122.0,2013
45600,,,,8990,80.0,2014
230000,,,,8990,140.0,2014
99756,,,,8990,105.0,2014
84600,,,,8990,143.0,2014
73000,,,,8990,125.0,2014
133180,,,,8990,105.0,2014
22700,,,,8990,60.0,2014
53000,,,,8999,105.0,2014
149786,,,,8999,136.0,2014
197500,,,,8999,140.0,2014
57000,,,,9000,99.0,2014
53286,,,,9100,86.0,2014
84721,,,,9200,101.0,2014
111000,,,,9200,122.0,2014
87500,,,,9290,105.0,2014
55000,,,,9300,105.0,2014
77000,,,,9300,90.0,2014
166000,,,,9400,105.0,2014
55000,,,,9450,101.0,2014
140000,,,,9990,110.0,2015
160000,,,,9999,120.0,2015
28238,,,,10190,140.0,2015
114327,,,,10200,131.0,2015
80575,,,,10299,105.0,2015
79987,,,,10444,105.0,2015
166554,,,,10490,170.0,2015
47295,,,,10490,101.0,2015
90000,,,,10499,170.0,2015
76800,,,,10580,110.0,2015
60000,,,,10750,110.0,2015
9500,,,,10750,125.0,2015
118000,,,,10950,150.0,2015
87000,,,,10950,110.0,2015
137000,,,,10950,116.0,2015
29000,,,,8990,94.0,2016
198000,,,,8999,120.0,2016
192000,,,,8999,178.0,2016
15000,,,,9000,90.0,2016
57800,,,,9250,90.0,2016
86900,,,,9380,101.0,2016
56617,,,,9440,90.0,2016
70604,,,,9490,69.0,2016
68656,,,,9490,69.0,2016
64783,,,,9490,69.0,2016
146148,,,,9495,136.0,2016
106300,,,,9499,160.0,2016
179200,,,,9499,120.0,2016
63000,,,,9500,87.0,2016
154494,,,,9500,120.0,2016
72500,,,,9650,136.0,2016
93300,,,,9680,110.0,2016
96999,,,,9690,136.0,2016
39990,,,,9690,101.0,2016
66106,,,,20990,150.0,2017
68000,,,,27928,200.0,2017
67000,,,,34900,170.0,2017
55000,,,,34905,252.0,2017
32100,,,,37931,333.0,2017
74000,,,,5555,71.0,2017
31500,,,,5780,60.0,2017
62490,,,,6390,60.0,2017
100870,,,,6445,60.0,2017
35450,,,,6445,60.0,2017
65635,,,,6490,60.0,2017
83000,,,,6500,69.0,2017
35000,,,,6700,90.0,2017
35093,,,,6750,60.0,2017
66000,,,,6799,69.0,2017
61000,,,,6900,67.0,2017
118759,,,,6990,95.0,2017
31500,,,,6999,71.0,2017
77403,,,,7090,75.0,2017
66990,,,,31880,272.0,2018
73500,,,,31980,163.0,2018
59990,,,,32940,218.0,2018
79300,,,,34775,204.0,2018
46300,,,,34890,190.0,2018
54496,,,,35480,231.0,2018
51878,,,,35490,239.0,2018
13400,,,,35990,300.0,2018
85200,,,,37700,224.0,2018
49900,,,,37950,320.0,2018
13710,,,,26480,150.0,2019
27949,,,,26880,150.0,2019
22500,,,,26880,150.0,2019
57501,,,,26970,190.0,2019
34450,,,,26980,150.0,2019
35950,,,,27440,150.0,2019
12178,,,,27440,150.0,2019
41365,,,,27490,190.0,2019
31900,,,,27600,163.0,2019
45700,,,,27980,150.0,2019
9243,,,,28250,150.0,2019
8650,,,,28980,179.0,2019
17615,,,,28990,150.0,2019
4016,,,,29111,211.0,2019
9290,,,,29980,179.0,2019
8650,,,,29980,179.0,2019
22900,,,,29990,150.0,2019
2955,,,,29994,150.0,2019
1060,,,,30452,131.0,2019
27500,,,,30675,190.0,2019
100,,,,10600,69.0,2021
15,,,,10680,69.0,2021
20,,,,10823,72.0,2021
15,,,,10980,69.0,2021
15,,,,10980,69.0,2021
10,,,,10997,72.0,2021
9,,,,11490,72.0,2021
9,,,,11490,72.0,2021
9,,,,11490,72.0,2021
100,,,,11499,67.0,2021
10,,,,11790,72.0,2021
10,,,,11950,84.0,2021
10,,,,11990,72.0,2021
10,,,,11990,72.0,2021
10,,,,11990,72.0,2021
10,,,,11990,72.0,2021
10,,,,11990,72.0,2021
10,,,,11990,72.0,2021
10,,,,11990,72.0,2021
10,,,,11990,72.0,2021
132500,,,,7800,122.0,2011
132500,,,,7800,122.0,2011
69019,,,,7850,156.0,2011
123600,,,,7885,150.0,2011
95963,,,,7900,120.0,2011
71908,,,,7900,117.0,2011
93510,,,,7900,90.0,2011
131322,,,,7900,122.0,2011
228000,,,,7900,170.0,2011
61999,,,,7949,99.0,2011
87216,,,,7970,122.0,2011
120600,,,,7970,150.0,2011
119850,,,,7990,86.0,2011
154500,,,,7990,160.0,2011
92800,,,,7990,131.0,2011
118210,,,,7990,160.0,2011
86000,,,,7998,116.0,2011
24170,,,,7999,132.0,2011
188758,,,,7999,140.0,2011
107001,,,,7999,122.0,2011
81179,,,,7900,105.0,2012
98669,,,,7900,75.0,2012
86747,,,,7900,86.0,2012
147500,,,,7900,140.0,2012
140000,,,,7950,124.0,2012
89400,,,,7980,122.0,2012
100000,,,,7980,122.0,2012
14300,,,,7990,101.0,2012
102000,,,,7990,179.0,2012
98600,,,,7990,160.0,2012
123000,,,,7990,160.0,2012
70600,,,,7990,99.0,2012
35300,,,,7990,99.0,2012
128000,,,,7990,122.0,2012
91000,,,,7990,105.0,2012
100000,,,,7999,135.0,2012
105531,,,,7999,99.0,2012
110405,,,,7999,122.0,2012
82822,,,,8500,75.0,2013
35000,,,,8500,105.0,2013
148000,,,,8500,150.0,2013
44700,,,,8500,69.0,2013
77820,,,,8550,105.0,2013
31000,,,,8679,125.0,2013
46000,,,,8699,69.0,2013
50000,,,,8699,101.0,2013
75800,,,,8700,82.0,2013
122450,,,,8700,135.0,2013
54689,,,,8740,140.0,2013
98000,,,,8790,99.0,2013
55135,,,,8800,99.0,2013
53998,,,,8880,86.0,2013
76796,,,,8885,120.0,2013
84000,,,,8888,110.0,2013
48795,,,,8899,105.0,2013
85320,,,,8900,140.0,2013
118070,,,,8900,75.0,2013
59100,,,,8900,90.0,2013
85183,,,,8898,140.0,2014
53795,,,,8900,60.0,2014
74450,,,,8900,156.0,2014
167000,,,,8950,110.0,2014
182150,,,,8980,140.0,2014
68067,,,,8985,125.0,2014
49252,,,,8990,125.0,2014
124800,,,,8990,140.0,2014
91784,,,,8990,101.0,2014
82500,,,,8990,90.0,2014
98000,,,,8990,135.0,2014
34100,,,,8990,86.0,2014
120500,,,,8990,141.0,2014
27241,,,,8990,110.0,2014
90173,,,,8990,101.0,2014
54210,,,,8990,120.0,2014
123559,,,,8995,92.0,2014
81430,,,,8999,82.0,2014
73000,,,,9000,110.0,2014
56700,,,,9000,140.0,2014
68220,,,,8900,75.0,2015
62665,,,,8950,90.0,2015
172000,,,,8990,120.0,2015
53000,,,,8990,86.0,2015
175488,,,,8990,120.0,2015
102690,,,,8990,125.0,2015
49249,,,,8990,132.0,2015
30100,,,,8990,86.0,2015
69120,,,,8990,90.0,2015
53000,,,,8990,110.0,2015
98540,,,,9200,128.0,2015
87200,,,,9250,132.0,2015
20000,,,,9299,71.0,2015
57596,,,,9440,116.0,2015
51833,,,,9440,95.0,2015
43693,,,,9450,110.0,2015
109750,,,,9450,105.0,2015
88900,,,,9450,86.0,2015
33000,,,,8495,58.0,2016
36300,,,,8499,90.0,2016
36300,,,,8499,90.0,2016
36210,,,,8499,73.0,2016
101850,,,,8690,95.0,2016
13832,,,,8690,82.0,2016
49950,,,,8690,90.0,2016
98700,,,,8770,110.0,2016
190543,,,,8799,90.0,2016
80000,,,,8800,110.0,2016
109859,,,,8840,125.0,2016
82000,,,,8850,110.0,2016
68300,,,,8850,110.0,2016
57644,,,,8850,90.0,2016
110412,,,,8880,95.0,2016
34955,,,,8880,80.0,2016
149889,,,,8890,136.0,2016
138965,,,,8890,110.0,2016
69934,,,,8890,90.0,2016
113000,,,,8900,110.0,2016
3070,,,,7950,67.0,2017
60300,,,,7950,82.0,2017
79883,,,,7985,101.0,2017
36955,,,,7990,80.0,2017
24162,,,,7990,67.0,2017
78588,,,,7990,60.0,2017
63200,,,,7990,90.0,2017
68753,,,,7990,80.0,2017
29731,,,,7990,69.0,2017
29712,,,,7990,69.0,2017
45401,,,,7990,75.0,2017
42341,,,,7990,69.0,2017
68360,,,,7990,69.0,2017
28864,,,,7995,73.0,2017
42000,,,,8000,80.0,2017
46073,,,,8090,71.0,2017
16000,,,,8100,69.0,2017
27547,,,,8190,69.0,2017
28323,,,,8190,69.0,2017
6761,,,,19490,125.0,2018
44626,,,,19940,179.0,2018
35000,,,,19950,182.0,2018
23100,,,,21490,163.0,2018
29658,,,,21680,120.0,2018
86886,,,,24869,239.0,2018
47000,,,,24950,200.0,2018
37076,,,,27890,245.0,2018
51136,,,,28780,204.0,2018
32900,,,,29990,190.0,2018
62302,,,,4700,73.0,2018
84000,,,,5990,69.0,2018
17896,,,,6490,71.0,2018
78000,,,,6490,60.0,2018
191533,,,,6722,105.0,2018
84800,,,,6850,60.0,2018
62608,,,,6930,60.0,2018
23864,,,,12970,95.0,2020
25885,,,,12980,95.0,2020
5,,,,12995,101.0,2020
19990,,,,13330,95.0,2020
2438,,,,13950,80.0,2020
50,,,,14490,95.0,2020
18805,,,,14990,101.0,2020
9990,,,,15490,101.0,2020
18365,,,,15790,101.0,2020
23560,,,,15880,125.0,2020
9990,,,,15970,125.0,2020
6315,,,,16450,125.0,2020
4246,,,,16880,90.0,2020
11570,,,,19390,150.0,2020
7360,,,,19790,150.0,2020
5050,,,,19970,150.0,2020
8125,,,,19990,150.0,2020
50,,,,19990,125.0,2020
5050,,,,20385,150.0,2020
135000,,,,3940,54.0,2011
42571,,,,3950,69.0,2011
130274,,,,3950,150.0,2011
107517,,,,3950,67.0,2011
199726,,,,3980,90.0,2011
178304,,,,3990,109.0,2011
213990,,,,3990,90.0,2011
103000,,,,3990,69.0,2011
104500,,,,3990,88.0,2011
169500,,,,3990,106.0,2011
43000,,,,3990,69.0,2011
51174,,,,3990,69.0,2011
199000,,,,3999,110.0,2011
110000,,,,3999,61.0,2011
99121,,,,3999,60.0,2011
202000,,,,3999,95.0,2011
93000,,,,4795,71.0,2012
131663,,,,4799,60.0,2012
137500,,,,4800,75.0,2012
122600,,,,4800,120.0,2012
81698,,,,4804,60.0,2012
87000,,,,4850,69.0,2012
89000,,,,4870,69.0,2012
26147,,,,4890,75.0,2012
81500,,,,4899,68.0,2012
119600,,,,4900,82.0,2012
153289,,,,4900,109.0,2012
52000,,,,4900,97.0,2012
56000,,,,4900,69.0,2012
215000,,,,4900,116.0,2012
159999,,,,4900,90.0,2012
81000,,,,4900,68.0,2012
120185,,,,4948,105.0,2012
116000,,,,4950,86.0,2012
99000,,,,4999,69.0,2013
175000,,,,4999,128.0,2013
74415,,,,4999,69.0,2013
42000,,,,4999,86.0,2013
85571,,,,5000,86.0,2013
68900,,,,5100,69.0,2013
73350,,,,5180,60.0,2013
124000,,,,5200,75.0,2013
162300,,,,5200,69.0,2013
38220,,,,5200,68.0,2013
109500,,,,5200,86.0,2013
115000,,,,5200,120.0,2013
94000,,,,5200,69.0,2013
74000,,,,5200,90.0,2013
150000,,,,5200,86.0,2013
58200,,,,5200,60.0,2013
150000,,,,5200,90.0,2013
78000,,,,5250,69.0,2013
95000,,,,5250,90.0,2013
50500,,,,5990,60.0,2015
50531,,,,5990,71.0,2015
55650,,,,5990,71.0,2015
42000,,,,5990,60.0,2015
174418,,,,5990,105.0,2015
179850,,,,5999,120.0,2015
54777,,,,5999,60.0,2015
37200,,,,6000,60.0,2015
45000,,,,6000,71.0,2015
93000,,,,6000,69.0,2015
118000,,,,6000,90.0,2015
100000,,,,6180,87.0,2015
79100,,,,6199,80.0,2015
87370,,,,6199,86.0,2015
157300,,,,6200,77.0,2015
61880,,,,6200,71.0,2015
45000,,,,6200,80.0,2015
36018,,,,6222,132.99266349764494,2015
132000,,,,6250,95.0,2015
77559,,,,6290,69.0,2015
42000,,,,13790,120.0,2016
147000,,,,13999,190.0,2016
88250,,,,14390,136.0,2016
106000,,,,14750,170.0,2016
46100,,,,14950,136.0,2016
52500,,,,15250,136.0,2016
142000,,,,16490,258.0,2016
38500,,,,16500,110.0,2016
136498,,,,18450,179.0,2016
112300,,,,18450,190.0,2016
12600,,,,19900,155.0,2016
210000,,,,19900,258.0,2016
9350,,,,19950,122.0,2016
34300,,,,20899,102.0,2016
139500,,,,21700,258.0,2016
133500,,,,22350,272.0,2016
93500,,,,23999,184.0,2016
93500,,,,23999,184.0,2016
188500,,,,24499,313.0,2016
98500,,,,28850,102.0,2016
16500,,,,30888,194.0,2017
67500,,,,30888,194.0,2017
49000,,,,30900,349.0,2017
49500,,,,31290,211.0,2017
59658,,,,31487,245.0,2017
27000,,,,31690,179.0,2017
53501,,,,31899,190.0,2017
67000,,,,31900,381.0,2017
50000,,,,32666,204.0,2017
27491,,,,32900,349.0,2017
45000,,,,32900,310.0,2017
